code,description
E9394,Benzodiazepine-based tranquilizers causing adverse effects in therapeutic use
E9413,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use
E9420,Cardiac rhythm regulators causing adverse effects in therapeutic use
E9424,Coronary vasodilators causing adverse effects in therapeutic use
E9426,Other antihypertensive agents causing adverse effects in therapeutic use
E9429,Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use
E9444,Other diuretics causing adverse effects in therapeutic use
E9478,Other drugs and medicinal substances causing adverse effects in therapeutic use
E9479,Unspecified drug or medicinal substance causing adverse effects in therapeutic use
E9504,Suicide and self-inflicted poisoning by other specified drugs and medicinal substances
E9800,"Poisoning by analgesics, antipyretics, and antirheumatics, undetermined whether accidentally or purposely inflicted"
E9803,"Poisoning by tranquilizers and other psychotropic agents, undetermined whether accidentally or purposely inflicted"
E9804,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted"
V0254,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
V0259,Carrier or suspected carrier of other specified bacterial diseases
V0382,Other specified vaccinations against streptococcus pneumoniae [pneumococcus]
V071,Need for desensitization to allergens
V08,Asymptomatic human immunodeficiency virus [HIV] infection status
V090,Infection with microorganisms resistant to penicillins
V0980,Infection with microorganisms without mention of resistance to multiple drugs
V0991,"Infection with drug-resistant microorganisms, unspecified, with multiple drug resistance"
V1003,Personal history of malignant neoplasm of esophagus
V1004,Personal history of malignant neoplasm of stomach
V1005,Personal history of malignant neoplasm of large intestine
V1006,"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus"
V1007,Personal history of malignant neoplasm of liver
V1009,Personal history of malignant neoplasm of other gastrointestinal tract
V1011,Personal history of malignant neoplasm of bronchus and lung
V1021,Personal history of malignant neoplasm of larynx
V103,Personal history of malignant neoplasm of breast
V1041,Personal history of malignant neoplasm of cervix uteri
V1042,Personal history of malignant neoplasm of other parts of uterus
V1043,Personal history of malignant neoplasm of ovary
V1046,Personal history of malignant neoplasm of prostate
V1047,Personal history of malignant neoplasm of testis
V1051,Personal history of malignant neoplasm of bladder
V1052,Personal history of malignant neoplasm of kidney
V1072,Personal history of hodgkin's disease
V1079,Personal history of other lymphatic and hematopoietic neoplasms
V1082,Personal history of malignant melanoma of skin
V1083,Personal history of other malignant neoplasm of skin
V1085,Personal history of malignant neoplasm of brain
V1087,Personal history of malignant neoplasm of thyroid
V1089,Personal history of malignant neoplasm of other sites
V113,Personal history of alcoholism
V1201,Personal history of tuberculosis
V1202,Personal history of poliomyelitis
V1204,Personal history of Methicillin resistant Staphylococcus aureus
V1209,Personal history of other infectious and parasitic diseases
V1251,Personal history of venous thrombosis and embolism
V1253,Personal history of sudden cardiac arrest
V1254,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
V1255,Personal history of pulmonary embolism
V1259,Personal history of other diseases of circulatory system
V1271,Personal history of peptic ulcer disease
V1272,Personal history of colonic polyps
V1279,Personal history of other diseases of digestive system
V1301,Personal history of urinary calculi
V1302,"Personal history, urinary (tract) infection"
V1351,Personal history of pathologic fracture
V140,Personal history of allergy to penicillin
V151,"Personal history of surgery to heart and great vessels, presenting hazards to health"
V153,"Personal history of irradiation, presenting hazards to health"
V1541,History of physical abuse
V1551,Personal history of traumatic fracture
V1552,Personal history of traumatic brain injury
V1581,"Personal history of noncompliance with medical treatment, presenting hazards to health"
V1582,Personal history of tobacco use
V1584,Personal history of contact with and (suspected) exposure to asbestos
V1588,History of fall
V160,Family history of malignant neoplasm of gastrointestinal tract
V161,"Family history of malignant neoplasm of trachea, bronchus, and lung"
V163,Family history of malignant neoplasm of breast
V173,Family history of ischemic heart disease
V1749,Family history of other cardiovascular diseases
V180,Family history of diabetes mellitus
V290,Observation for suspected infectious condition
V3001,"Single liveborn, born in hospital, delivered by cesarean section"
V420,Kidney replaced by transplant
V422,Heart valve replaced by transplant
V427,Liver replaced by transplant
V4281,Bone marrow replaced by transplant
V4282,Peripheral stem cells replaced by transplant
V4283,Pancreas replaced by transplant
V433,Heart valve replaced by other means
V4361,Shoulder joint replacement
V4364,Hip joint replacement
V4365,Knee joint replacement
V440,Tracheostomy status
V441,Gastrostomy status
V442,Ileostomy status
V443,Colostomy status
V444,Status of other artificial opening of gastrointestinal tract
V446,Other artificial opening of urinary tract status
V4501,Cardiac pacemaker in situ
V4502,Automatic implantable cardiac defibrillator in situ
V451,[UNK:V451]
V4511,Renal dialysis status
V452,Presence of cerebrospinal fluid drainage device
V453,Intestinal bypass or anastomosis status
V454,Arthrodesis status
V4561,Cataract extraction status
V4571,Acquired absence of breast and nipple
V4572,Acquired absence of intestine (large) (small)
V4573,Acquired absence of kidney
V4576,"Acquired absence of organ, lung"
V4579,Other acquired absence of organ
V4581,Aortocoronary bypass status
V4582,Percutaneous transluminal coronary angioplasty status
V4585,Insulin pump status
V4586,Bariatric surgery status
V4589,Other postprocedural status
V4611,"Dependence on respirator, status"
V462,"Other dependence on machines, supplemental oxygen"
V463,Wheelchair dependence
V4962,Other finger(s) amputation status
V4972,Other toe(s) amputation status
V4973,Foot amputation status
V4975,Below knee amputation status
V4976,Above knee amputation status
V4983,Awaiting organ transplant status
V4986,Do not resuscitate status
V4987,Physical restraints status
V5331,Fitting and adjustment of cardiac pacemaker
V5332,Fitting and adjustment of automatic implantable cardiac defibrillator
V5413,Aftercare for healing traumatic fracture of hip
V5419,Aftercare for healing traumatic fracture of other bone
V550,Attention to tracheostomy
V551,Attention to gastrostomy
V552,Attention to ileostomy
V553,Attention to colostomy
V554,Attention to other artificial opening of digestive tract
V5811,Encounter for antineoplastic chemotherapy
V5861,Long-term (current) use of anticoagulants
V5863,Long-term (current) use of antiplatelet/antithrombotic
V5865,Long-term (current) use of steroids
V5866,Long-term (current) use of aspirin
V5867,Long-term (current) use of insulin
V5869,Long-term (current) use of other medications
V5883,Encounter for therapeutic drug monitoring
V600,Lack of housing
V6284,Suicidal ideation
V632,Person awaiting admission to adequate facility elsewhere
V641,Surgical or other procedure not carried out because of contraindication
V642,Surgical or other procedure not carried out because of patient's decision
V643,Procedure not carried out for other reasons
V6441,Laparoscopic surgical procedure converted to open procedure
V6442,Thoracoscopic surgical procedure converted to open procedure
V667,Encounter for palliative care
V707,Examination of participant in clinical trial
V850,"Body Mass Index less than 19, adult"
V851,"Body Mass Index between 19-24, adult"
V8536,"Body Mass Index 36.0-36.9, adult"
V854,[UNK:V854]
V8541,"Body Mass Index 40.0-44.9, adult"
V8543,"Body Mass Index 50.0-59.9, adult"
V8741,Personal history of antineoplastic chemotherapy
V8801,Acquired absence of both cervix and uterus
